,Plant ID,Combined Heat & Power Plant,Nuclear Unit I.D.,Plant Name,Operator Name,Operator ID,State,Census Region,NERC Region,Reserved ,NAICS Code,EIA Sector Number,Sector Name,Reported Prime Mover,Reported Fuel Type Code,AER Fuel Type Code,Reserved .1,Reserved .2,Physical Unit Label,QUANTITY_JAN,QUANTITY_FEB,QUANTITY_MAR,QUANTITY_APR,QUANTITY_MAY,QUANTITY_JUN,QUANTITY_JUL,QUANTITY_AUG,QUANTITY_SEP,QUANTITY_OCT,QUANTITY_NOV,QUANTITY_DEC,ELEC_QUANTITY_JAN,ELEC_QUANTITY_FEB,ELEC_QUANTITY_MAR,ELEC_QUANTITY_APR,ELEC_QUANTITY_MAY,ELEC_QUANTITY_JUN,ELEC_QUANTITY_JUL,ELEC_QUANTITY_AUG,ELEC_QUANTITY_SEP,ELEC_QUANTITY_OCT,ELEC_QUANTITY_NOV,ELEC_QUANTITY_DEC,MMBTU_PER_UNIT_JAN,MMBTU_PER_UNIT_FEB,MMBTU_PER_UNIT_MAR,MMBTU_PER_UNIT_APR,MMBTU_PER_UNIT_MAY,MMBTU_PER_UNIT_JUN,MMBTU_PER_UNIT_JUL,MMBTU_PER_UNIT_AUG,MMBTU_PER_UNIT_SEP,MMBTU_PER_UNIT_OCT,MMBTU_PER_UNIT_NOV,MMBTU_PER_UNIT_DEC,TOT_MMBTU_JAN,TOT_MMBTU_FEB,TOT_MMBTU_MAR,TOT_MMBTU_APR,TOT_MMBTU_MAY,TOT_MMBTU_JUN,TOT_MMBTU_JUL,TOT_MMBTU_AUG,TOT_MMBTU_SEP,TOT_MMBTU_OCT,TOT_MMBTU_NOV,TOT_MMBTU_DEC,ELEC_MMBTUS_JAN,ELEC_MMBTUS_FEB,ELEC_MMBTUS_MAR,ELEC_MMBTUS_APR,ELEC_MMBTUS_MAY,ELEC_MMBTUS_JUN,ELEC_MMBTUS_JUL,ELEC_MMBTUS_AUG,ELEC_MMBTUS_SEP,ELEC_MMBTUS_OCT,ELEC_MMBTUS_NOV,ELEC_MMBTUS_DEC,NETGEN_JAN,NETGEN_FEB,NETGEN_MAR,NETGEN_APR,NETGEN_MAY,NETGEN_JUN,NETGEN_JUL,NETGEN_AUG,NETGEN_SEP,NETGEN_OCT,NETGEN_NOV,NETGEN_DEC,TOTAL FUEL CONSUMPTION QUANTITY,ELECTRIC FUEL CONSUMPTION QUANTITY,TOTAL FUEL CONSUMPTION MMBTUS,ELEC FUEL CONSUMPTION MMBTUS,NET GENERATION (megawatthours),Year,Heatrate
0,3,N,,Barry,Alabama Power Co,195,AL,ESC ,SERC,,22,1,Electric Utility,CA,NG,NG,,,mcf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2007,-999999.0
1,3,N,,Barry,Alabama Power Co,195,AL,ESC ,SERC,,22,1,Electric Utility,CT,NG,NG,,,mcf,"2,171,937","3,356,346","2,104,905","3,050,964","1,902,015","2,513,542","2,258,949","3,270,135","2,081,583","2,331,566","1,856,384","1,835,884","2,171,937","3,356,346","2,104,905","3,050,964","1,902,015","2,513,542","2,258,949","3,270,135","2,081,583","2,331,566","1,856,384","1,835,884",1.2,1.04,1.02,1.04,1.04,1.04,1.04,1.04,1.04,1.0,1.04,1.04,"2,606,324","3,497,313","2,147,003","3,179,104","1,978,096","2,614,084","2,349,307","3,400,940","2,164,846","2,331,566","1,930,639","1,909,319","2,606,324","3,497,313","2,147,003","3,179,104","1,978,096","2,614,084","2,349,307","3,400,940","2,164,846","2,331,566","1,930,639","1,909,319","310,760","495,051","302,190","441,570","264,388","355,154","314,378","468,232","285,526","324,981","257,986","261,566","28,734,210","28,734,210","30,108,541",30108541.0,4081782.0,2007,7376.322645
2,96,N,,Beluga,Chugach Electric Assn Inc,3522,AK,PACN,ASCC,,22,1,Electric Utility,CA,NG,NG,,,mcf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"34,521","33,892","28,817","10,774","32,200","28,482","28,566","27,511","15,594","22,960","33,143","34,018",0,0,0,0.0,330478.0,2007,0.0
3,96,N,,Beluga,Chugach Electric Assn Inc,3522,AK,PACN,ASCC,,22,1,Electric Utility,CT,NG,NG,,,mcf,"1,360,646","1,239,286","1,092,820","1,049,725","1,257,656","1,187,852","1,210,710","1,208,642","1,145,585","907,247","1,254,866","1,153,022","1,360,646","1,239,286","1,092,820","1,049,725","1,257,656","1,187,852","1,210,710","1,208,642","1,145,585","907,247","1,254,866","1,153,022",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"1,360,646","1,239,286","1,092,820","1,049,725","1,257,656","1,187,852","1,210,710","1,208,642","1,145,585","907,247","1,254,866","1,153,022","1,360,646","1,239,286","1,092,820","1,049,725","1,257,656","1,187,852","1,210,710","1,208,642","1,145,585","907,247","1,254,866","1,153,022","114,391","103,937","92,195","86,412","101,906","95,009","97,435","96,211","92,142","74,744","103,534","112,736","14,068,057","14,068,057","14,068,057",14068057.0,1170652.0,2007,12017.28353
4,117,N,,West Phoenix,Arizona Public Service Co,803,AZ,MTN ,WECC,,22,1,Electric Utility,CA,NG,NG,,,mcf,0,0,0,"1,570",610,"3,740","23,140","19,420",0,"2,700",0,"2,500",0,0,0,"1,570",610,"3,740","23,140","19,420",0,"2,700",0,"2,500",0.0,0.0,0.0,1.02,1.02,1.02,1.02,1.02,0.0,1.02,0.0,1.02,0,0,0,"1,606",623,"3,819","23,649","19,867",0,"2,754",0,"2,550",0,0,0,"1,606",623,"3,819","23,649","19,867",0,"2,754",0,"2,550","30,166","36,887","8,631","25,853","10,461","68,257","91,156","84,712","44,609","31,480","37,785","35,449","53,680","53,680","54,868",54868.0,505446.0,2007,108.5536338
5,117,N,,West Phoenix,Arizona Public Service Co,803,AZ,MTN ,WECC,,22,1,Electric Utility,CT,NG,NG,,,mcf,"664,930","846,580","209,770","605,530","329,150","1,715,630","2,223,920","2,102,770","1,187,690","901,040","996,650","879,270","664,930","846,580","209,770","605,530","329,150","1,715,630","2,223,920","2,102,770","1,187,690","901,040","996,650","879,270",1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,"679,558","863,512","214,175","619,457","336,062","1,751,658","2,272,846","2,151,134","1,211,444","919,061","1,015,586","896,855","679,558","863,512","214,175","619,457","336,062","1,751,658","2,272,846","2,151,134","1,211,444","919,061","1,015,586","896,855","55,169","73,343","16,812","51,783","27,256","155,272","205,280","193,617","107,286","83,353","88,391","77,953","12,662,930","12,662,930","12,931,348",12931348.0,1135515.0,2007,11388.09087
6,147,N,,Kyrene,Salt River Project,16572,AZ,MTN ,WECC,,22,1,Electric Utility,CA,NG,NG,,,mcf,"4,087",167,"1,814","7,287","5,532","9,864","25,257","22,030","28,912","17,575","3,704","3,143","4,087",167,"1,814","7,287","5,532","9,864","25,257","22,030","28,912","17,575","3,704","3,143",1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,"4,181",171,"1,848","7,455","5,648","10,081","25,838","22,559","29,548","17,927","3,774","3,203","4,181",171,"1,848","7,455","5,648","10,081","25,838","22,559","29,548","17,927","3,774","3,203","26,125","10,724","12,960","23,264","26,859","27,295","35,332","31,467","36,065","30,832","7,995","19,133","129,372","129,372","132,233",132233.0,288051.0,2007,459.061069
7,147,N,,Kyrene,Salt River Project,16572,AZ,MTN ,WECC,,22,1,Electric Utility,CT,NG,NG,,,mcf,"579,726","247,430","286,118","492,286","566,857","569,926","732,488","648,575","739,614","628,676","176,990","411,192","579,726","247,430","286,118","492,286","566,857","569,926","732,488","648,575","739,614","628,676","176,990","411,192",1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,"592,480","253,368","291,840","503,116","578,761","582,464","748,603","663,492","755,146","640,621","180,353","419,005","592,480","253,368","291,840","503,116","578,761","582,464","748,603","663,492","755,146","640,621","180,353","419,005","48,051","19,848","24,533","43,748","49,581","50,378","65,428","57,378","66,798","58,034","15,543","35,083","6,079,878","6,079,878","6,209,249",6209249.0,534403.0,2007,11619.03844
8,160,N,,Apache Station,Arizona Electric Pwr Coop Inc,796,AZ,MTN ,WECC,,22,1,Electric Utility,CA,NG,NG,,,mcf,0,0,0,26,0,"56,134","87,514","90,990","82,752","33,533",0,0,0,0,0,26,0,"56,134","87,514","90,990","82,752","33,533",0,0,0.0,0.0,0.0,1.03,0.0,1.03,1.03,1.03,1.03,1.03,0.0,0.0,0,0,0,27,0,"57,706","89,789","93,538","84,904","34,405",0,0,0,0,0,27,0,"57,706","89,789","93,538","84,904","34,405",0,0,-266,-235,-224,-212,-254,"1,933","2,909","3,158","2,549","3,123",-214,-256,"350,949","350,949","360,369",360369.0,12011.0,2007,30003.24702
9,160,N,,Apache Station,Arizona Electric Pwr Coop Inc,796,AZ,MTN ,WECC,,22,1,Electric Utility,CT,NG,NG,,,mcf,0,0,0,0,0,"104,442","138,658","150,097","87,679","39,141",0,0,0,0,0,0,0,"104,442","138,658","150,097","87,679","39,141",0,0,0.0,0.0,0.0,0.0,0.0,1.03,1.03,1.03,1.03,1.03,0.0,0.0,0,0,0,0,0,"107,366","142,263","154,300","89,959","40,159",0,0,0,0,0,0,0,"107,366","142,263","154,300","89,959","40,159",0,0,0,0,0,0,0,"10,549","14,317","15,143","8,798","1,093",0,0,"520,017","520,017","534,047",534047.0,49900.0,2007,10702.34469
