,Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Technology,Prime Mover,Unit Code,Ownership,Duct Burners,Can Bypass Heat Recovery Steam Generator?,RTO/ISO LMP Node Designation,RTO/ISO Location Designation for Reporting Wholesale Sales Data to FERC,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Minimum Load (MW),Uprate or Derate Completed During Year,Month Uprate or Derate Completed,Year Uprate or Derate Completed,Status,Synchronized to Transmission Grid,Operating Month,Operating Year,Retirement Month,Retirement Year,plant life,Associated with Combined Heat and Power System,Sector Name,Sector,Topping or Bottoming,Energy Source 1,Energy Source 2
0,3522,Chugach Electric Assn Inc,96,Beluga,AK,Kenai Peninsula,8,Natural Gas Fired Combined Cycle,CA,BCC8,S,N,X,,,62.0,0.900,44.0,53.0,10.0,N, , ,RE,X,9,1982,4,2015,32.58333333,N,Electric Utility,1,X,NG,
1,6452,Florida Power & Light Co,613,Lauderdale,FL,Broward,4GT1,Natural Gas Fired Combined Cycle,CT,C791,S,X,N,,,185.0,0.800, , ,155.0,N, , ,RE,X,5,1993,12,2018,25.58333333,N,Electric Utility,1,X,NG,DFO
2,6452,Florida Power & Light Co,613,Lauderdale,FL,Broward,4GT2,Natural Gas Fired Combined Cycle,CT,C791,S,X,N,,,185.0,0.800, , ,155.0,N, , ,RE,X,5,1993,12,2018,25.58333333,N,Electric Utility,1,X,NG,DFO
3,6452,Florida Power & Light Co,613,Lauderdale,FL,Broward,5GT1,Natural Gas Fired Combined Cycle,CT,C792,S,X,N,,,185.0,0.800, , ,155.0,N, , ,RE,X,6,1993,12,2018,25.5,N,Electric Utility,1,X,NG,DFO
4,6452,Florida Power & Light Co,613,Lauderdale,FL,Broward,5GT2,Natural Gas Fired Combined Cycle,CT,C792,S,X,N,,,185.0,0.800, , ,155.0,N, , ,RE,X,6,1993,12,2018,25.5,N,Electric Utility,1,X,NG,DFO
5,6452,Florida Power & Light Co,613,Lauderdale,FL,Broward,ST4,Natural Gas Fired Combined Cycle,CA,C791,S,N,X,,,151.2,0.850,442.0,485.0,155.0,N, , ,RE,X,10,1957,12,2018,61.16666667,N,Electric Utility,1,X,NG,DFO
6,6452,Florida Power & Light Co,613,Lauderdale,FL,Broward,ST5,Natural Gas Fired Combined Cycle,CA,C792,S,N,X,,,151.2,0.850,442.0,485.0,155.0,N, , ,RE,X,4,1958,12,2018,60.66666667,N,Electric Utility,1,X,NG,DFO
7,6616,Fort Pierce Utilities Authority,658,Henry D King,FL,St Lucie,5,Natural Gas Fired Combined Cycle,CA,,S,N,X,,,8.3, ,8.0,8.0, ,, , ,RE,X,1,1953,5,2008,55.33333333,N,Electric Utility,1,X,NG,DFO
8,6616,Fort Pierce Utilities Authority,658,Henry D King,FL,St Lucie,9,Natural Gas Fired Combined Cycle,CT,,S,X,,,,22.5, ,22.4,22.4, ,, , ,RE,X,5,1990,5,2008,18.0,N,Electric Utility,1,X,NG,DFO
9,6909,Gainesville Regional Utilities,664,John R Kelly,FL,Alachua,8,Natural Gas Fired Combined Cycle,CA,G681,S,N,X,,,50.0,0.850,36.0,37.0,30.0,N, , ,RE,X,4,1965,6,2021,56.16666667,N,Electric Utility,1,X,NG,DFO
10,10376,Kissimmee Utility Authority,672,Hansel,FL,Osceola,21,Natural Gas Fired Combined Cycle,CT,,S,X,,,,35.0, ,30.0,38.0, ,N, , ,RE,X,2,1983,10,2012,29.66666667,N,Electric Utility,1,X,NG,DFO
11,10376,Kissimmee Utility Authority,672,Hansel,FL,Osceola,22,Natural Gas Fired Combined Cycle,CA,,S,N,X,,,10.0, ,8.0,6.0, ,N, , ,RE,X,11,1983,10,2012,28.91666667,N,Electric Utility,1,X,NG,DFO
12,10376,Kissimmee Utility Authority,672,Hansel,FL,Osceola,23,Natural Gas Fired Combined Cycle,CA,,S,N,X,,,10.0, ,8.0,6.0, ,N, , ,RE,X,11,1983,10,2012,28.91666667,N,Electric Utility,1,X,NG,DFO
13,3258,Central Iowa Power Cooperative,1206,Summit Lake,IA,Union,1,Natural Gas Fired Combined Cycle,CA,SLCC,S,N,X,ALTW.CC.SLAK1,,7.5,0.800,6.5,6.8,2.5,N, , ,RE,X,3,1951,1,2021,69.83333333,N,Electric Utility,1,X,NG,DFO
14,3258,Central Iowa Power Cooperative,1206,Summit Lake,IA,Union,2,Natural Gas Fired Combined Cycle,CA,SLCC,S,N,X,ALTW.CC.SLAK2,,7.5,0.800,6.5,6.8,2.5,N, , ,RE,X,3,1951,1,2021,69.83333333,N,Electric Utility,1,X,NG,DFO
15,3258,Central Iowa Power Cooperative,1206,Summit Lake,IA,Union,3,Natural Gas Fired Combined Cycle,CA,SLCC,S,N,X,ALTW.CC.SLAK2,,7.5,0.800,7.0,7.3,2.5,N, , ,RE,X,10,1957,1,2021,63.25,N,Electric Utility,1,X,NG,DFO
16,11241,Entergy Louisiana LLC,1404,Sterlington,LA,Ouachita,7B,Natural Gas Fired Combined Cycle,CT,PB01,S,X,Y,EES.STERL7,EES.STERL7,66.0,0.900,44.0,55.0,5.0,, , ,RE,X,4,1973,1,2019,45.75,N,Electric Utility,1,X,NG,DFO
17,11241,Entergy Louisiana LLC,1404,Sterlington,LA,Ouachita,7C,Natural Gas Fired Combined Cycle,CA,PB01,S,N,X,EES.STERL7,EES.STERL7,101.0,0.900,47.6,53.4,10.0,, , ,RE,X,9,1974,6,2017,42.75,N,Electric Utility,1,X,NG,DFO
18,59528,"Kendall Green Energy, LLC",1595,Kendall Square Station,MA,Middlesex,1,Natural Gas Fired Combined Cycle,CA,CC1,S,N,X,10347,10347,17.2,0.800,14.8,14.8,5.0,N, , ,RE,X,6,1949,12,2018,69.5,Y,IPP CHP,3,T,NG,
19,59528,"Kendall Green Energy, LLC",1595,Kendall Square Station,MA,Middlesex,2,Natural Gas Fired Combined Cycle,CA,CC1,S,N,X,10348,10348,23.0,0.800,19.7,19.7,5.0,N, , ,RE,X,1,1951,12,2018,67.91666667,Y,IPP CHP,3,T,NG,
20,6204,City of Farmington - (NM),2465,Animas,NM,San Juan,1,Natural Gas Fired Combined Cycle,CA,CTG1,S,N,X,,,3.0,0.800,3.0,3.0,1.0,N, , ,RE,X,1,1955,3,2015,60.16666667,N,Electric Utility,1,X,NG,
21,6204,City of Farmington - (NM),2465,Animas,NM,San Juan,2,Natural Gas Fired Combined Cycle,CA,CTG1,S,N,X,,,3.0,0.800,3.0,3.0,1.0,N, , ,RE,X,2,1955,3,2015,60.08333333,N,Electric Utility,1,X,NG,
22,3046,Duke Energy Progress - (NC),2708,Cape Fear,NC,Chatham,1,Petroleum Liquids,CA,,S,N,X,,,15.0,0.850,11.0,12.0, ,, , ,RE,X,12,1923,3,2013,89.25,N,Electric Utility,1,X,DFO,
23,3046,Duke Energy Progress - (NC),2708,Cape Fear,NC,Chatham,1A,Petroleum Liquids,CT,,S,X,,,,18.0,0.850,11.0,14.0, ,, , ,RE,X,6,1969,3,2013,43.75,N,Electric Utility,1,X,DFO,
24,3046,Duke Energy Progress - (NC),2708,Cape Fear,NC,Chatham,1B,Petroleum Liquids,CT,,S,X,,,,18.0,0.850,12.0,14.0, ,, , ,RE,X,6,1969,3,2013,43.75,N,Electric Utility,1,X,DFO,
25,3046,Duke Energy Progress - (NC),2708,Cape Fear,NC,Chatham,2,Petroleum Liquids,CA,,S,N,X,,,15.0,0.850,7.0,12.0, ,, , ,RE,X,10,1924,3,2013,88.41666667,N,Electric Utility,1,X,DFO,
26,3046,Duke Energy Progress - (NC),2708,Cape Fear,NC,Chatham,2A,Petroleum Liquids,CT,,S,X,,,,18.0,0.850,12.0,14.0, ,, , ,RE,X,6,1969,3,2013,43.75,N,Electric Utility,1,X,DFO,
27,3046,Duke Energy Progress - (NC),2708,Cape Fear,NC,Chatham,2B,Petroleum Liquids,CT,,S,X,,,,18.0,0.850,11.0,14.0, ,, , ,RE,X,6,1969,10,2012,43.33333333,N,Electric Utility,1,X,DFO,
28,19099,TransAlta Centralia Gen LLC,3845,Transalta Centralia Generation,WA,Lewis,30,Natural Gas Fired Combined Cycle,CT,,S,X,Y,,,60.5,0.850,44.0,47.0, ,N, , ,RE,X,8,2002,1,2013,10.41666667,N,IPP Non-CHP,2,X,NG,
29,19099,TransAlta Centralia Gen LLC,3845,Transalta Centralia Generation,WA,Lewis,40,Natural Gas Fired Combined Cycle,CT,,S,X,Y,,,60.5,0.850,44.0,47.0, ,N, , ,RE,X,8,2002,1,2013,10.41666667,N,IPP Non-CHP,2,X,NG,
30,19099,TransAlta Centralia Gen LLC,3845,Transalta Centralia Generation,WA,Lewis,50,Natural Gas Fired Combined Cycle,CT,,S,X,Y,,,60.5,0.850,44.0,47.0, ,N, , ,RE,X,8,2002,1,2013,10.41666667,N,IPP Non-CHP,2,X,NG,
31,19099,TransAlta Centralia Gen LLC,3845,Transalta Centralia Generation,WA,Lewis,60,Natural Gas Fired Combined Cycle,CT,,S,X,Y,,,60.5,0.850,44.0,47.0, ,N, , ,RE,X,8,2002,1,2013,10.41666667,N,IPP Non-CHP,2,X,NG,
32,19099,TransAlta Centralia Gen LLC,3845,Transalta Centralia Generation,WA,Lewis,70,Natural Gas Fired Combined Cycle,CA,,S,N,X,,,80.0,0.850,80.0,80.0, ,N, , ,RE,X,8,2002,1,2013,10.41666667,N,IPP Non-CHP,2,X,NG,
33,6452,Florida Power & Light Co,6246,Putnam,FL,Putnam,1GT1,Natural Gas Fired Combined Cycle,CT,C782,S,X,N,,,85.0,0.900, , ,50.0,N, , ,RE,X,4,1978,12,2014,36.66666667,N,Electric Utility,1,X,NG,DFO
34,6452,Florida Power & Light Co,6246,Putnam,FL,Putnam,1GT2,Natural Gas Fired Combined Cycle,CT,C782,S,X,N,,,85.0,0.900, , ,50.0,N, , ,RE,X,4,1978,12,2014,36.66666667,N,Electric Utility,1,X,NG,DFO
35,6452,Florida Power & Light Co,6246,Putnam,FL,Putnam,1ST,Natural Gas Fired Combined Cycle,CA,C782,S,Y,X,,,120.0,0.900,249.0,265.0,50.0,N, , ,RE,X,4,1978,12,2014,36.66666667,N,Electric Utility,1,X,NG,DFO
36,6452,Florida Power & Light Co,6246,Putnam,FL,Putnam,2GT1,Natural Gas Fired Combined Cycle,CT,C783,S,X,N,,,85.0,0.900, , ,50.0,N, , ,RE,X,8,1977,12,2014,37.33333333,N,Electric Utility,1,X,NG,DFO
37,6452,Florida Power & Light Co,6246,Putnam,FL,Putnam,2GT2,Natural Gas Fired Combined Cycle,CT,C783,S,X,N,,,85.0,0.900, , ,50.0,N, , ,RE,X,8,1977,12,2014,37.33333333,N,Electric Utility,1,X,NG,DFO
38,6452,Florida Power & Light Co,6246,Putnam,FL,Putnam,2ST,Natural Gas Fired Combined Cycle,CA,C783,S,Y,X,,,120.0,0.900,249.0,265.0,50.0,N, , ,RE,X,8,1977,12,2014,37.33333333,N,Electric Utility,1,X,NG,DFO
39,3522,Chugach Electric Assn Inc,6559,George M Sullivan Generation Plant 2,AK,Anchorage,5,Natural Gas Fired Combined Cycle,CT,CC1,S,X,X,,,38.1,0.900,33.8,37.4, ,N, , ,RE,X,1,1975,12,2016,41.91666667,N,Electric Utility,1,X,NG,DFO
40,3522,Chugach Electric Assn Inc,6559,George M Sullivan Generation Plant 2,AK,Anchorage,6,Natural Gas Fired Combined Cycle,CA,CC1,S,N,X,,,33.0,0.850,34.0,37.5, ,N, , ,RE,X,3,1979,12,2016,37.75,N,Electric Utility,1,X,NG,
41,50160,Pedricktown Cogeneration Company LP,10099,Pedricktown Cogeneration Company LP,NJ,Salem,GEN1,Natural Gas Fired Combined Cycle,CT,CC1,S,X,N,71856717,71856717,95.2,0.900,112.8,112.6,105.0,N, , ,RE,X,3,1992,5,2022,30.16666667,N,IPP Non-CHP,2,X,NG,DFO
42,50160,Pedricktown Cogeneration Company LP,10099,Pedricktown Cogeneration Company LP,NJ,Salem,GEN2,Natural Gas Fired Combined Cycle,CA,CC1,S,Y,X,71856717,71856717,45.0,0.850,112.8,112.6, ,N, , ,RE,X,3,1992,5,2022,30.16666667,N,IPP Non-CHP,2,X,NG,DFO
43,4558,Cutrale Citrus Juices USA Inc,10188,Cutrale Citrus Juices USA II,FL,Polk,GEN1,Natural Gas Fired Combined Cycle,CT,,S,X,N,,,3.5, ,3.1,3.8, ,N, , ,RE,X,12,1987,12,2010,23.0,Y,Industrial Non-CHP,6,T,NG,
44,4558,Cutrale Citrus Juices USA Inc,10188,Cutrale Citrus Juices USA II,FL,Polk,GEN2,Natural Gas Fired Combined Cycle,CT,,S,X,N,,,3.5,0.800,3.0,3.7, ,N, , ,RE,X,12,1987,12,2010,23.0,Y,Industrial Non-CHP,6,T,NG,
45,11161,Loma Linda University,10206,Loma Linda University Cogen,CA,San Bernardino,GEN3,Natural Gas Fired Combined Cycle,CA,ST01,S,N,X,,,1.2,0.800,1.2,1.2,0.4,N, , ,RE,X,2,1980,7,2014,34.41666667,Y,Commercial CHP,5,B,NG,
46,64430,"Calpine Greenleaf Holding, Inc.",10350,Greenleaf 1,CA,Sutter,GEN1,Natural Gas Fired Combined Cycle,CT,CC1,S,X,N,,,46.0,0.900,42.0,44.0,40.0,N, , ,RE,X,2,1989,3,2019,30.08333333,Y,IPP Non-CHP,2,T,NG,
47,64430,"Calpine Greenleaf Holding, Inc.",10350,Greenleaf 1,CA,Sutter,GEN2,Natural Gas Fired Combined Cycle,CA,CC1,S,Y,X,,,20.0,0.850,8.0,6.0,5.0,N, , ,RE,X,2,1989,3,2019,30.08333333,Y,IPP Non-CHP,2,T,NG,
48,11216,Los Angeles County,10478,Pitchess Cogen Station,CA,Los Angeles,GEN1,Natural Gas Fired Combined Cycle,CT,CC1,S,X,N,,,20.9,0.920,21.5,20.9,16.0,N, , ,RE,X,9,1988,11,2018,30.16666667,Y,Commercial CHP,5,T,NG,DFO
49,11216,Los Angeles County,10478,Pitchess Cogen Station,CA,Los Angeles,GEN2,Natural Gas Fired Combined Cycle,CA,CC1,S,N,X,,,7.4,0.920,5.7,6.0,5.0,N, , ,RE,X,9,1988,11,2018,30.16666667,Y,Commercial CHP,5,B,NG,DFO
50,178,CES Placerita Inc,10677,CES Placerita Power Plant,CA,Los Angeles,UNT1,Natural Gas Fired Combined Cycle,CT,CESP,S,X,N,,,60.0,0.850,46.0,50.0,0.0,N, , ,RE,X,6,1988,1,2008,19.58333333,N,IPP Non-CHP,2,X,NG,
51,30151,"Tri-State G & T Assn, Inc",10755,Rifle Generating Station,CO,Garfield,GT2,Natural Gas Fired Combined Cycle,CT,CC1,S,X,N,,,15.0,0.850,13.0,15.0,12.4,N, , ,RE,X,8,1987,9,2022,35.08333333,N,Electric Utility,1,X,NG,
52,30151,"Tri-State G & T Assn, Inc",10755,Rifle Generating Station,CO,Garfield,GT3,Natural Gas Fired Combined Cycle,CT,CC1,S,X,N,,,15.0,0.850,13.0,15.0,12.4,N, , ,RE,X,8,1987,9,2022,35.08333333,N,Electric Utility,1,X,NG,
53,30151,"Tri-State G & T Assn, Inc",10755,Rifle Generating Station,CO,Garfield,GT4,Natural Gas Fired Combined Cycle,CT,CC1,S,X,N,,,15.0,0.850,13.0,15.0,12.4,N, , ,RE,X,8,1987,9,2022,35.08333333,N,Electric Utility,1,X,NG,
54,30151,"Tri-State G & T Assn, Inc",10755,Rifle Generating Station,CO,Garfield,ST1,Natural Gas Fired Combined Cycle,CA,CC1,S,N,X,,,39.0,0.850,34.0,34.8,24.0,N, , ,RE,X,8,1987,9,2022,35.08333333,N,Electric Utility,1,X,NG,
