,Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Technology,Prime Mover,Unit Code,Ownership,Duct Burners,Can Bypass Heat Recovery Steam Generator?,RTO/ISO LMP Node Designation,RTO/ISO Location Designation for Reporting Wholesale Sales Data to FERC,Heatrate,CHP,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Minimum Load (MW),Uprate or Derate Completed During Year,Month Uprate or Derate Completed,Year Uprate or Derate Completed,Status,Synchronized to Transmission Grid,Operating Month,Operating Year,Retirement Month,Retirement Year,plant life,Associated with Combined Heat and Power System,Sector Name,Sector,Topping or Bottoming,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Solid Fuel Gasification System?,Carbon Capture Technology?,Turbines or Hydrokinetic Buoys,Time from Cold Shutdown to Full Load,Fluidized Bed Technology?,Pulverized Coal Technology?,Stoker Technology?,Other Combustion Technology?,Subcritical Technology?,Supercritical Technology?,Ultrasupercritical Technology?,Multiple Fuels?,Cofire Fuels?,Switch Between Oil and Natural Gas?,fuel switching
0,3522,Chugach Electric Assn Inc,75,Hank Nikkels Plant 1,AK,Anchorage,1,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,14577.81144,0,12.5,0.8,14,16.2, ,N, , ,RE,X,11,1962,12,2016,54.08333333,N,Electric Utility,1,X,NG,DFO,,,,,,,,,N,N, ,1H,,,,,,,,N,Y,Y,1
1,3522,Chugach Electric Assn Inc,75,Hank Nikkels Plant 1,AK,Anchorage,2,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,14577.81144,0,12.5,0.8,14,16.2, ,N, , ,RE,X,3,1962,12,2016,54.75,N,Electric Utility,1,X,NG,DFO,,,,,,,,,N,N, ,1H,,,,,,,,N,Y,Y,1
2,3522,Chugach Electric Assn Inc,75,Hank Nikkels Plant 1,AK,Anchorage,3,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,14577.81144,0,16.3, ,17.7,19.4, ,N, , ,RE,X,12,1968,8,2004,35.66666667,N,Electric Utility,1,X,NG,DFO,,,,,,,,,N,, ,,,,,,,,,N,Y,Y,1
3,7294,City of Glendale - (CA),377,Grayson,CA,Los Angeles,6,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,12499.79079,0,22, ,15,18, ,N, , ,RE,X,4,1972,3,2004,31.91666667,N,Electric Utility,1,X,NG,DFO,,,,,,,,,N,, ,,,,,,,,,,,,0
4,7294,City of Glendale - (CA),377,Grayson,CA,Los Angeles,7,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,12499.79079,0,31, ,20,23, ,N, , ,RE,X,2,1974,11,2002,28.75,N,Electric Utility,1,X,NG,DFO,,,,,,,,,,, ,,,,,,,,,,,,0
5,6452,Florida Power & Light Co,612,Fort Myers,FL,Lee,11,Petroleum Liquids,GT,,S,X,X,,,13414.02394,0,62,0.9,54,60,5,N, , ,RE,X,5,1974,12,2016,42.58333333,N,Electric Utility,1,X,DFO,,,,,,,,,,N,, ,10M,,,,,,,,,,N,0
6,6452,Florida Power & Light Co,612,Fort Myers,FL,Lee,12,Petroleum Liquids,GT,,S,X,X,,,13414.02394,0,62,0.9,54,60,5,N, , ,RE,X,5,1974,12,2016,42.58333333,N,Electric Utility,1,X,DFO,,,,,,,,,,N,, ,10M,,,,,,,,,,N,0
7,6452,Florida Power & Light Co,612,Fort Myers,FL,Lee,3,Petroleum Liquids,GT,,S,X,X,,,13414.02394,0,62,0.9,54,60,5,N, , ,RE,X,5,1974,12,2016,42.58333333,N,Electric Utility,1,X,DFO,,,,,,,,,,N,, ,10M,,,,,,,,,,,0
8,6452,Florida Power & Light Co,612,Fort Myers,FL,Lee,4,Petroleum Liquids,GT,,S,X,X,,,13414.02394,0,62,0.9,54,60,5,N, , ,RE,X,5,1974,12,2016,42.58333333,N,Electric Utility,1,X,DFO,,,,,,,,,,N,, ,10M,,,,,,,,,,,0
9,6452,Florida Power & Light Co,612,Fort Myers,FL,Lee,5,Petroleum Liquids,GT,,S,X,X,,,13414.02394,0,62,0.9,54,60,5,N, , ,RE,X,5,1974,12,2016,42.58333333,N,Electric Utility,1,X,DFO,,,,,,,,,,N,, ,10M,,,,,,,,,,,0
10,6452,Florida Power & Light Co,612,Fort Myers,FL,Lee,6,Petroleum Liquids,GT,,S,X,X,,,13414.02394,0,62,0.9,54,60,5,N, , ,RE,X,5,1974,12,2016,42.58333333,N,Electric Utility,1,X,DFO,,,,,,,,,,N,, ,10M,,,,,,,,,,,0
11,6452,Florida Power & Light Co,612,Fort Myers,FL,Lee,7,Petroleum Liquids,GT,,S,X,X,,,13414.02394,0,62,0.9,54,60,5,N, , ,RE,X,5,1974,12,2016,42.58333333,N,Electric Utility,1,X,DFO,,,,,,,,,,N,, ,10M,,,,,,,,,,,0
12,6452,Florida Power & Light Co,612,Fort Myers,FL,Lee,8,Petroleum Liquids,GT,,S,X,X,,,13414.02394,0,62,0.9,54,60,5,N, , ,RE,X,5,1974,12,2016,42.58333333,N,Electric Utility,1,X,DFO,,,,,,,,,,N,, ,10M,,,,,,,,,,,0
13,6452,Florida Power & Light Co,612,Fort Myers,FL,Lee,G10,Petroleum Liquids,GT,,S,X,X,,,13414.02394,0,62,0.9,54,60,5,N, , ,RE,X,5,1974,12,2016,42.58333333,N,Electric Utility,1,X,DFO,,,,,,,,,,N,, ,10M,,,,,,,,,,,0
14,6452,Florida Power & Light Co,612,Fort Myers,FL,Lee,GT2,Petroleum Liquids,GT,,S,X,X,,,13414.02394,0,62,0.9,54,60,5,N, , ,RE,X,5,1974,12,2016,42.58333333,N,Electric Utility,1,X,DFO,,,,,,,,,,N,, ,10M,,,,,,,,,,,0
15,6452,Florida Power & Light Co,613,Lauderdale,FL,Broward,1,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,17147.01692,0,34.2,0.85,35,40,5,N, , ,RE,X,8,1970,12,2016,46.33333333,N,Electric Utility,1,X,NG,DFO,,,,,,,,,N,, ,10M,,,,,,,,Y,N,Y,1
16,6452,Florida Power & Light Co,613,Lauderdale,FL,Broward,10,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,17147.01692,0,34.2,0.85,35,40,5,N, , ,RE,X,8,1970,12,2016,46.33333333,N,Electric Utility,1,X,NG,DFO,,,,,,,,,N,, ,10M,,,,,,,,Y,N,Y,1
17,6452,Florida Power & Light Co,613,Lauderdale,FL,Broward,11,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,17147.01692,0,34.2,0.85,35,40,5,N, , ,RE,X,8,1970,12,2016,46.33333333,N,Electric Utility,1,X,NG,DFO,,,,,,,,,N,, ,10M,,,,,,,,Y,N,Y,1
18,6452,Florida Power & Light Co,613,Lauderdale,FL,Broward,12,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,17147.01692,0,34.2,0.85,35,40,5,N, , ,RE,X,8,1970,12,2016,46.33333333,N,Electric Utility,1,X,NG,DFO,,,,,,,,,N,, ,10M,,,,,,,,Y,N,Y,1
19,6452,Florida Power & Light Co,613,Lauderdale,FL,Broward,13,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,17147.01692,0,34.2,0.85,35,40,5,N, , ,RE,X,8,1972,12,2016,44.33333333,N,Electric Utility,1,X,NG,DFO,,,,,,,,,N,, ,10M,,,,,,,,Y,N,Y,1
20,6452,Florida Power & Light Co,613,Lauderdale,FL,Broward,14,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,17147.01692,0,34.2,0.85,35,40,5,N, , ,RE,X,8,1972,12,2016,44.33333333,N,Electric Utility,1,X,NG,DFO,,,,,,,,,N,, ,10M,,,,,,,,Y,N,Y,1
21,6452,Florida Power & Light Co,613,Lauderdale,FL,Broward,15,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,17147.01692,0,34.2,0.85,35,40,5,N, , ,RE,X,8,1972,12,2016,44.33333333,N,Electric Utility,1,X,NG,DFO,,,,,,,,,N,, ,10M,,,,,,,,Y,N,Y,1
